physician id,physician name,area code,speciality,active status
D000001,Dr Qadim Mallick,T003,Pulmonology,ACTIVE
D000002,Dr Zaid Borra,T005,Neurology,ACTIVE
D000003,Dr Guneet Bedi,T018,Orthopedics,ACTIVE
D000004,Dr Girik Khalsa,T014,Diabetology,ACTIVE
D000005,Dr Niharika Sunder,T047,Orthopedics,ACTIVE
D000006,Dr Tanay Rattan,T016,Orthopedics,ACTIVE
D000007,Dr Nitesh Raghavan,T027,Neurology,ACTIVE
D000008,Dr Madhavi Lanka,T007,General Medicine,ACTIVE
D000009,Dr Bhavika Sampath,T043,Gastroenterology,ACTIVE
D000010,Dr Mohammed Gupta,T023,Gastroenterology,ACTIVE
