doctor_id,doctor_name,territory_id,speciality,active
D000001,Dr Oni Virk,T001,Neurology,True
D000002,Dr Advika Jayaraman,T019,Neurology,True
D000003,Dr William Lanka,T001,General Medicine,True
D000004,Dr Karan Mital,T002,Neurology,True
D000005,Dr Diya Bora,T003,Cardiology,True
D000006,Dr Tara Chaudhry,T011,General Medicine,True
D000007,Dr Tanay Toor,T017,Neurology,True
D000008,Dr Kevin Palla,T009,Orthopedics,True
D000009,Dr Yash Pingle,T007,Diabetology,True
D000010,Dr Nakul Sarma,T019,Orthopedics,True
D000011,Dr Abhiram Mistry,T008,Orthopedics,True
D000012,Dr Krish Lalla,T014,Neurology,True
D000013,Dr Hredhaan Dugal,T004,General Medicine,True
D000014,Dr Baghyawati Kade,T014,Pulmonology,True
D000015,Dr Samar Lalla,T014,Gastroenterology,True
D000016,Dr Zayan Behl,T015,Cardiology,True
D000017,Dr Pallavi Malhotra,T004,Cardiology,True
D000018,Dr Aarush Nath,T013,Pulmonology,True
D000019,Dr Adweta Edwin,T004,Neurology,True
D000020,Dr Prisha Andra,T007,Neurology,True
D000021,Dr Faqid Dixit,T018,Orthopedics,True
D000022,Dr Kala Divan,T005,Gastroenterology,True
D000023,Dr Joshua Barman,T006,Dermatology,True
D000024,Dr Janya Baral,T015,Neurology,True
D000025,Dr Shivansh Krish,T003,Orthopedics,True
D000026,Dr Irya Ray,T018,General Medicine,True
D000027,Dr Warjas Gaba,T002,Cardiology,True
D000028,Dr Nitara Bakshi,T003,Neurology,True
D000029,Dr Gaurangi Sabharwal,T006,Gastroenterology,True
D000030,Dr Amara Dutta,T016,Orthopedics,True
D000031,Dr Lavanya Barad,T007,Gastroenterology,True
D000032,Dr Tristan Iyengar,T002,Diabetology,True
D000033,Dr Inaya Mody,T013,Cardiology,True
D000034,Dr Udant Bajwa,T013,Dermatology,True
D000035,Dr Mohini Narasimhan,T015,Dermatology,True
D000036,Dr Ekaraj Mallick,T014,Orthopedics,True
D000037,Dr Yashodhara Ratta,T005,Neurology,True
D000038,Dr Ayaan D’Alia,T010,Neurology,True
D000039,Dr Pranav Lanka,T002,Cardiology,True
D000040,Dr Ikbal Saraf,T011,Cardiology,True
D000041,Dr Dipta Sarin,T002,Orthopedics,True
D000042,Dr Lekha Gupta,T017,Diabetology,True
D000043,Dr Chaitanya Sarin,T002,General Medicine,True
D000044,Dr Zinal Yohannan,T006,General Medicine,True
D000045,Dr Januja Sankar,T020,General Medicine,True
D000046,Dr Ganga Murthy,T008,Gastroenterology,True
D000047,Dr Charita Tripathi,T004,Neurology,True
D000048,Dr Nilima Narain,T019,Cardiology,True
D000049,Dr Chakrika Datta,T020,General Medicine,True
D000050,Dr Osha Raghavan,T014,Pulmonology,True
D000051,Dr Charvi Ravi,T009,Neurology,True
D000052,Dr Daksha Mangat,T011,Neurology,True
D000053,Dr Qushi Nagy,T009,Gastroenterology,True
D000054,Dr Riya Sathe,T005,Dermatology,True
D000055,Dr Yasti Solanki,T015,Pulmonology,True
D000056,Dr Frado Mander,T003,Cardiology,True
D000057,Dr Girik Keer,T015,General Medicine,True
D000058,Dr Umang Issac,T003,Neurology,True
D000059,Dr Aryan Batra,T017,Dermatology,True
D000060,Dr Vaishnavi Bora,T005,Pulmonology,True
D000061,Dr Oeshi Hayer,T003,Neurology,True
D000062,Dr Warda Ratta,T012,Dermatology,True
D000063,Dr Manbir Ahluwalia,T006,Orthopedics,True
D000064,Dr Pavani Kanda,T018,Dermatology,True
D000065,Dr Zarna Shetty,T020,Cardiology,True
D000066,Dr Zaid Dara,T018,Dermatology,True
D000067,Dr Kiaan Shetty,T004,Diabetology,True
D000068,Dr Saanvi Thaman,T009,General Medicine,True
D000069,Dr Sanaya Dutt,T004,Diabetology,True
D000070,Dr Shivani Lad,T009,Dermatology,True
D000071,Dr Aradhana Verma,T020,Neurology,True
D000072,Dr William Maharaj,T011,Neurology,True
D000073,Dr Faras Mangal,T009,Orthopedics,True
D000074,Dr Anita Nayak,T009,Cardiology,True
D000075,Dr Faris Devi,T003,Gastroenterology,True
D000076,Dr Vihaan Rajagopal,T009,Cardiology,True
D000077,Dr Tanish Bhatt,T001,Pulmonology,True
